2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-28/22:40:55		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-28/22:40:56		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-28/22:40:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-28/22:40:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-28/22:40:57		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-28/22:40:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-28/22:40:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-28/22:40:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-28/22:40:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/10:42:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/10:42:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/10:42:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/10:42:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/10:42:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/10:42:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/10:42:28		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/10:42:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/10:42:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/12:05:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/12:05:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/12:05:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/12:05:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/12:05:17		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/12:05:17		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/12:05:19		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/12:05:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/12:05:21		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/13:22:48		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/13:22:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/13:22:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/13:22:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/13:22:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/13:22:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/13:22:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/13:22:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/13:22:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/15:11:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/15:11:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/15:11:20		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/15:11:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/15:11:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/15:11:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/15:11:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/15:11:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/15:11:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/17:13:11		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/17:13:12		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/17:13:12		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/17:13:13		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/17:13:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/17:13:14		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/17:13:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/17:13:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/17:13:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-29/18:35:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-29/18:35:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-29/18:35:20		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-29/18:35:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-29/18:35:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-29/18:35:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-29/18:35:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-29/18:35:25		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-29/18:35:25		 wafer_29012020_050617.csv: File Transformed successfully!!
